Id,GeographicCode,GeographicName,CSDType,ProvinceTerritory,GeographicCodeProvinceTerritory,GeographicCodeCensusDivision,Population2016,Population2011,PopulationPercentChange,TotalPrivateDwellings2016,TotalPrivateDwellings2011,TotalPrivateDwellingsPercentChange,PrivateDwellingsOccupiedByUsualResidents2016,PrivateDwellingsOccupiedByUsualResidents2011,PrivateDwellingsOccupiedByUsualResidentsPercentChange,LandAreaInSquareKilometres2016,PopulationDensityPerSquareKilometre2016,NationalPopulationRank2016,ProvincialTerritorialPopulationRank2016
NaN,5915001,Langley,District municipality,British Columbia,59,5915,117285,104177,12.6,43720,39114,11.8,41982,37237,12.7,308.03,380.8,45,8
NaN,5917021,Saanich,District municipality,British Columbia,59,5917,114148,109752,4,49422,49670,-0.5,46652,45390,2.8,103.78,1099.9,46,9
Terrebone-QC,2464008,Terrebonne,Ville,Quebec,24,2464,111575,106322,4.9,42622,40282,5.8,41801,39388,6.1,154.12,723.9,47,10
Milton-ON,3524009,Milton,Town,Ontario,35,3524,110128,84362,30.5,35537,28049,26.7,34257,27561,24.3,363.22,303.2,48,23
NaN,1001519,St. John's,City,Newfoundland and Labrador,10,1001,108860,106172,2.5,52410,48819,7.4,47627,45026,5.8,445.88,244.1,49,1
Thunder-Bay-ON,3558004,Thunder Bay,City,Ontario,35,3558,107909,108359,-0.4,50388,49547,1.7,47182,46946,0.5,328.36,328.6,50,24
NaN,3530016,Waterloo,City,Ontario,35,3530,104986,98780,6.3,46096,42984,7.2,40381,37517,7.6,64.02,1639.8,51,25
NaN,5915011,Delta,District municipality,British Columbia,59,5915,102238,99863,2.4,37590,35781,5.1,35758,34755,2.9,180.2,567.4,52,10
NaN,3536020,Chatham-Kent,Municipality,Ontario,35,3536,101647,103671,-2,46103,46209,-0.2,43026,42838,0.4,2457.9,41.4,53,26
Red-Deer-AB,4808011,Red Deer,City,Alberta,48,4808,100418,90564,10.9,42285,38789,9,39982,36346,10,104.73,958.8,54,3
Strathcona-County-AB,4811052,Strathcona County,Specialized municipality,Alberta,48,4811,98044,92490,6,36354,34136,6.5,35567,33129,7.4,1182.78,82.9,55,4
Brantford-ON,3529006,Brantford,City,Ontario,35,3529,97496,93650,4.1,40732,39397,3.4,39215,37500,4.6,72.44,1345.9,56,27
Saint-Jean-sur-Richelieu-QC,2456083,Saint-Jean-sur-Richelieu,Ville,Quebec,24,2456,95114,92394,2.9,42036,40411,4,40843,39283,4,226.63,419.7,57,11
